method_id,seed,step,mean_reward,max_reward,hard_filter_fraction,mean_kl,mean_entropy,archive_size
M1_joint_rl,1701,53,0.18626253306865692,0.2856264114379883,0.984375,0.15396437048912048,0.9084099531173706,2628
M1_joint_rl,1701,54,0.1589600145816803,0.2747921347618103,0.90625,0.15412546694278717,0.8944995999336243,2683
M1_joint_rl,1701,55,0.1687644124031067,0.2792634069919586,0.859375,0.15303799510002136,0.8848451375961304,2738
M1_joint_rl,1701,56,0.17130036652088165,0.2803554832935333,0.921875,0.1563473641872406,0.8716413378715515,2793
M1_joint_rl,1701,57,0.19732268154621124,0.2847224771976471,0.984375,0.15273380279541016,0.8406360745429993,2855
M1_joint_rl,1701,58,0.1625756174325943,0.2705259919166565,0.921875,0.16107653081417084,0.853557825088501,2911
M1_joint_rl,1701,59,0.16550344228744507,0.2769937217235565,0.875,0.15389113128185272,0.8617509603500366,2965
M1_joint_rl,1701,60,0.14642825722694397,0.2727257013320923,0.890625,0.15385201573371887,0.8587340116500854,3016
A1_uv_only_rl,1701,1,0.10561268031597137,0.4732091724872589,0.5625,0.0,1.161805272102356,36
A1_uv_only_rl,1701,2,0.10689757019281387,0.416897177696228,0.578125,0.004051717929542065,1.1383483409881592,73
A1_uv_only_rl,1701,3,0.1178589016199112,0.4827920198440552,0.609375,0.009404747746884823,1.1131603717803955,112
A1_uv_only_rl,1701,4,0.12644676864147186,0.49193379282951355,0.609375,0.018619505688548088,1.1645363569259644,151
A1_uv_only_rl,1701,5,0.14892956614494324,0.4509437680244446,0.734375,0.02769719623029232,1.1542460918426514,198
A1_uv_only_rl,1701,6,0.1411769539117813,0.4356088936328888,0.671875,0.040460214018821716,1.1498398780822754,241
A1_uv_only_rl,1701,7,0.1720704734325409,0.5075891017913818,0.734375,0.055393945425748825,1.1345106363296509,288
A1_uv_only_rl,1701,8,0.18635235726833344,0.4891596734523773,0.78125,0.07775908708572388,1.156080961227417,337
A1_uv_only_rl,1701,9,0.16750776767730713,0.48830434679985046,0.671875,0.09023676067590714,1.1843979358673096,379
A1_uv_only_rl,1701,10,0.17415004968643188,0.48077744245529175,0.75,0.10637231916189194,1.1396220922470093,427
A1_uv_only_rl,1701,11,0.1785653978586197,0.48667120933532715,0.734375,0.11954686790704727,1.1313966512680054,474
A1_uv_only_rl,1701,12,0.2239941656589508,0.48645010590553284,0.828125,0.12925854325294495,1.1463680267333984,526
A1_uv_only_rl,1701,13,0.22664213180541992,0.5014607310295105,0.8125,0.1406906694173813,1.0964820384979248,574
A1_uv_only_rl,1701,14,0.2037266492843628,0.4852807819843292,0.671875,0.15268762409687042,1.0836472511291504,614
A1_uv_only_rl,1701,15,0.19338832795619965,0.4551624357700348,0.8125,0.1538992077112198,1.0760751962661743,663
A1_uv_only_rl,1701,16,0.2129209041595459,0.4809727668762207,0.703125,0.1494545191526413,1.0778374671936035,707
A1_uv_only_rl,1701,17,0.22598408162593842,0.5024802684783936,0.859375,0.14331333339214325,1.0605106353759766,759
A1_uv_only_rl,1701,18,0.24050454795360565,0.5063954591751099,0.859375,0.14073628187179565,1.0069690942764282,811
A1_uv_only_rl,1701,19,0.23189401626586914,0.49650371074676514,0.8125,0.15170544385910034,1.0580697059631348,862
A1_uv_only_rl,1701,20,0.2122127115726471,0.4907933175563812,0.828125,0.13850641250610352,1.016426920890808,914
